"","year","quarter","total_retail_value_cannabis_sales","est_state_sales_tax_collections_cannabis","avg_local_tax_rate","est_local_sales_tax_collections_cannabis","est_state_total_tax_collections_spirits","total_retail_value_tax_incl_spirits","avg_price_per_liter_post_tax_spirits","gdp","personal_income","population","per_cap_personal_income"
"1","2014","3",35631000,2316000,0.0246958830940261,880000,59836000,199909000,24.2225857264025,429450.7,364020.1,7083463,51390
"2","2014","4",55972000,3638000,0.0246958830940261,1382000,68317000,233751000,25.6193555458132,430464.6,369712.3,7113106,51976
"3","2015","1",82018000,5331000,0.0246958830940261,2026000,51224000,173021000,24.85,435616.1,375275,7139401,52564
"4","2015","2",123912000,8054000,0.0246958830940261,3060000,56431000,190727000,24.89,441170.4,379570.6,7166284,52966
"5","2015","3",128126000,8328000,0.0249902230279336,3202000,62734000,211224000,24.66,445843.6,383645.8,7198358,53296
"6","2015","4",135233000,8790000,0.0249902230279336,3380000,71175000,246376000,26.35,445178.2,386140.9,7233210,53384
"7","2016","1",144543000,9395000,0.0249902230279336,3612000,54253000,185205000,25.48,455746.8,394914.2,7265602,54354
"8","2016","2",172124000,11188000,0.0249902230279336,4301000,58900000,200160000,25.21,453467.5,398257.5,7298650,54566
"9","2016","3",203312000,13133000,0.0253548198386707,5123000,64193000,218158000,25.21,457156.1,402812.6,7333379,54929
"10","2016","4",209567000,13462000,0.0253548198386707,5251000,73850000,257029000,26.7,466684.7,411112.8,7367564,55800
"11","2017","1",211731000,13578000,0.0253548198386707,5296000,56697000,193986000,25.62,472062.2,417618.4,7398759,56444
"12","2017","2",226326000,14511000,0.0253548198386707,5660000,61276000,210008000,25.72,476239.3,423221.4,7430095,56960
"13","2017","3",246290000,15808000,0.0282387187826208,6868000,68193000,232390000,25.38,485000,429002.2,7460579,57503
"14","2017","4",241067000,15479000,0.0282387187826208,6725000,76548000,267977000,27.09,494726.7,435928.6,7487324,58222
"15","2018","1",238989000,15339000,0.0282387187826208,6664000,60383000,207983000,26.03,507062.5,445256.5,7510834,59282
"16","2018","2",250136000,16059000,0.0282387187826208,6977000,64473000,222610000,26.19,511980.4,449122.4,7535411,59602
"17","2018","3",266518000,17123000,0.02826,7444000,70807000,243656000,25.97,521121.1,458376,7560862,60625
"18","2018","4",261542000,16803000,0.02826,7305000,80469000,284413000,27.74,519952.3,465579.2,7584627,61385
"19","2019","1",254504000,16348000,0.02826,7108000,64237000,223900000,26.8,528055.6,481232.4,7605380,63275
"20","2019","2",268558000,17242000,0.02826,7496000,68435000,239228000,26.99,528075.3,487244,7627028,63884
"21","2019","3",295644000,18976000,0.02855,8335000,74837000,260363000,26.68,534990.3,493002.6,7651025,64436
"22","2019","4",291910000,18757000,0.02855,8238000,84657000,301934000,28.38,541480.5,499809.6,7674821,65123
"23","2020","1",306606000,19703000,0.02855,8654000,73217000,256616000,27.17,542706.3,507762.7,7695191,65984
"24","2020","2",372243000,23930000,0.02855,10511000,94701000,335357000,27.87,509713.1,543467.4,7713990,70452
"25","2020","3",381378000,24501000,0.02853,10754000,94275000,334505000,28.01,552802,531685.6,7727186,68807
"26","2020","4",368516000,23678000,0.02853,10393000,104656000,379457000,29.61,550202.8,527411.6,7732262,68209
"27","2021","1",370886000,23828000,0.02853,10459000,83124000,298320000,28.84,565174.8,584653.4,7731997,75615
"28","2021","2",380546000,24454000,0.02853,10733000,88138000,317586000,29.14,575469.8,563859.7,7736974,72879
"29","2021","3",366704000,23565000,0.02889,10474000,91033000,325808000,28.63,575027.3,564534.3,7747312,72868
"30","2021","4",348538000,22415000,0.02889,9963000,100951000,371206000,30.73,584844.1,570635.9,7758265,73552
"31","2022","1",323900000,20827000,0.02889,9257000,78312000,282373000,29.19,577715.1,573989.3,7766521,73906
"32","2022","2",322636000,20758000,0.02889,9226000,84118000,304262000,29.43,578519.7,583996.7,7778616,75077
"33","2022","3",318643000,20495000,0.02923,9217000,92442000,332186000,28.93,583581.3,594566.4,7792429,76301
"34","2022","4",311386000,20033000,0.02923,9009000,101768000,376862000,31.32,588870.4,604919.9,7804904,77505
